input,name,quantity,unit,comment
1 tsp sesame oil,sesame oil,1,tsp,
"2 eggs, beaten",eggs,2,,beaten
"1 bunch spring onions, sliced diagonally",spring onions,1,bunch,sliced diagonally
"1 tbsp light soy sauce, or more if you need it",light soy sauce,1,tbsp,or more if you need it
250 g self-raising flour,self-raising flour,250,g,
200 g Greek yogurt,Greek yogurt,200,g,
Pinch of salt,Pinch of salt,,,
40 g granulated sugar,granulated sugar,40,g,
1 tsp ground cinnamon,ground cinnamon,1,tsp,
"1 liter vegetable oil, for frying",vegetable oil,1,liter,for frying
Taste the Difference salted caramel sauce,Taste the Difference salted caramel sauce,,,
1 sweet potato (about 250 g),sweet potato (about 250 g),1,,
"1x 400 g tin chickpeas, rinsed and drained",chickpeas,1x,400 g tin,rinsed and drained
1 tbsp olive oil,olive oil,1,tbsp,
"1 medium red onion, thinly sliced",red onion,1,medium,thinly sliced
1 ripe medium avocado,ripe medium avocado,1,,
a squeeze of lemon juice,a squeeze of lemon juice,,,
"3 tbsp coriander, chopped",coriander,3,tbsp,chopped
1 tsp ras el hanout spices or harissa paste,ras el hanout spices or harissa paste,1,tsp,
2 wholemeal folded flatbreads,wholemeal folded flatbreads,2,,
2 tbsp natural yogurt,natural yogurt,2,tbsp,
1 tbsp vegetable oil,vegetable oil,1,tbsp,
"1 large onion, chopped",onion,1,large,chopped
"4 cloves garlic, minced",garlic,4,cloves,minced
1 tbsp ground cumin,ground cumin,1,tbsp,
"1 tbsp chili powder, or less for less spicy",chili powder,1,tbsp,or less for less spicy
2 tsp dried oregano,dried oregano,2,tsp,
1 tsp smoked sweet paprika powder,smoked sweet paprika powder,1,tsp,
0.25 tsp ground black pepper,ground black pepper,0.25,tsp,
2 tbsp tomato paste,tomato paste,2,tbsp,
3 cups canned crushed tomatoes,canned crushed tomatoes,3,cups,
2 cups water,water,2,cups,
1.5 cups cooked black beans,cooked black beans,1.5,cups,
1.5 cups cooked red kidney beans,cooked red kidney beans,1.5,cups,
1.5 cups cooked brown lentils,cooked brown lentils,1.5,cups,
"2 vegetable bouillon cubes, crushed",vegetable bouillon cubes,2,,crushed
"1 large sweet potato, finely chopped",sweet potato,1,large,finely chopped
"1 red bell pepper, finely chopped",red bell pepper,1,,finely chopped
0.75 cup canned corn,canned corn,0.75,cup,
1 avocado,avocado,1,,
0.25 cup pickled red onions,pickled red onions,0.25,cup,
0.5 cup vegan sour cream,vegan sour cream,0.5,cup,
"1 jalapeno, sliced",jalapeno,1,,sliced
2 tsp olive oil,olive oil,2,tsp,
"12 shallots, peeled",shallots,12,,peeled
"350 g trimmed diced lamb, from the chump or loin fillet",trimmed diced lamb,350,g,from the chump or loin fillet
"350 g new potatoes, scrubbed and cut into chunks",new potatoes,350,g,scrubbed and cut into chunks
"12 baby carrots, trimmed and peeled",baby carrots,12,,trimmed and peeled
150 ml white wine,white wine,150,ml,
250 ml vegetable stock,vegetable stock,250,ml,
3 bay leaves,bay leaves,3,,
1x 200 g can chopped tomatoes,chopped tomatoes,1x,200 g can,
100 g frozen peas,frozen peas,100,g,
1 tbsp chopped parsley leaves,chopped parsley leaves,1,tbsp,
"crusty bread, to serve",crusty bread,,,to serve
1 tbsp olive oil,olive oil,1,tbsp,
"1 kg ground turkey, white and dark combined",ground turkey,1,kg,white and dark combined
2 cups coarsely chopped onions,coarsely chopped onions,2,cups,
2 tbsp chopped garlic,chopped garlic,2,tbsp,
"1 large sweet red pepper, cored, deveined and coarsely chopped",sweet red pepper,1,large,"cored, deveined and coarsely chopped"
1 cup chopped celery,chopped celery,1,cup,
"1 jalapeno pepper, cored, deveined and finely chopped",jalapeno pepper,1,,"cored, deveined and finely chopped"
"1 tbsp fresh oregano, chopped, or 1 tablespoon dried",fresh oregano,1,tbsp,"chopped, or 1 tablespoon  dried"
2 bay leaves,bay leaves,2,,
3 tbsp chilli powder,chilli powder,3,tbsp,
2 tsp ground cumin,ground cumin,2,tsp,
3 cups canned diced tomatoes,canned diced tomatoes,3,cups,
"2 cups chicken broth, fresh or canned",chicken broth,2,cups,fresh or canned
"salt and freshly ground pepper, to taste",salt and freshly ground pepper,,,to taste
"2x 400 g cans red kidney beans, drained",red kidney beans,2x,400 g cans,drained
2 cups shredded cheddar cheese,shredded cheddar cheese,2,cups,
1 cup sour cream (optional),sour cream (optional),1,cup,
sliced lime for garnish (optional),sliced lime for garnish (optional),,,
1x 250 g jar roasted mixed peppers with herbs,roasted mixed peppers with herbs,1x,250 g jar,
"250 g new potatoes, thickly sliced",new potatoes,250,g,thickly sliced
"1 red onion, cut into wedges",red onion,1,,cut into wedges
"140 g green beans, trimmed and halved widthways",green beans,140,g,trimmed and halved widthways
"2x 175 g chunky cod fillets, skin on",chunky cod fillets,2x,175 g,skin on
0.5 lemon,lemon,0.5,,
"crusty bread, to serve",crusty bread,,,to serve
2 tbsp oil,oil,2,tbsp,
"2 cloves garlic, chopped",garlic,2,cloves,chopped
6 tsp Thai green curry paste,Thai green curry paste,6,tsp,
2x 400 ml cans coconut milk,coconut milk,2x,400 ml cans,
"450 g new potatoes, scrubbed and cut into chunks",new potatoes,450,g,scrubbed and cut into chunks
"200 g pack trimmed green beans, halved",pack trimmed green beans,200,g,halved
"4 tsp Thai fish sauce, or to taste",Thai fish sauce,4,tsp,or to taste
2 tsp caster sugar,caster sugar,2,tsp,
"6 bonesless skinless chicken breasts, cut into bitesized chunks",bonesless skinless chicken breasts,6,,cut into bitesized chunks
3 wide strips lime zest,lime zest,3,wide strips,
large handful basil leaves,basil leaves,,large handful,
2 tbsp olive oil,olive oil,2,tbsp,
"1 onion, finely chopped",onion,1,,finely chopped
1 mug risotto rice,risotto rice,1,mug,
2 mugs water,water,2,mugs,
2 fish stock cubes,fish stock cubes,2,,
450 g king prawns,king prawns,450,g,
"200 g spinach, roughly chopped",spinach,200,g,roughly chopped
0.5 mug finely grated parmesan,finely grated parmesan,0.5,mug,
2 tbsp plain flour,plain flour,2,tbsp,
2 tsp Cajun seasoning,Cajun seasoning,2,tsp,
0.5 tsp salt,salt,0.5,tsp,
"4 boneless skinless chicken breasts, about 140 g each",boneless skinless chicken breasts,4,,about 140 g each
2 tbsp olive oil,olive oil,2,tbsp,
"tzatziki, mixed salad and new potatoes, to serve","tzatziki, mixed salad and new potatoes",,,to serve
2 mugs rice,rice,2,mugs,
pilau rice seasoning,pilau rice seasoning,,,
2x 180 g pack cooked prawns,cooked prawns,2x,180 g pack,
1 tbsp oil,oil,1,tbsp,
2 tbsp Thai red curry paste,Thai red curry paste,2,tbsp,
1x 400 g tin coconut milk,coconut milk,1x,400 g tin,
"200 g pack of mangetout and baby sweetcorn, both cut in half length ways",pack of mangetout and baby sweetcorn,200,g,both cut in half length ways
6 spring onions,spring onions,6,,
"2 boneless chicken breasts, skin on",boneless chicken breasts,2,,skin on
1 tbsp olive oil,olive oil,1,tbsp,
"200 g baby new potatoes, scrubbed and thinly sliced",baby new potatoes,200,g,scrubbed and thinly sliced
500 ml chicken stock,chicken stock,500,ml,
"200 g pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)","pack mixed spring vegetables (broccoli, peas, broad beans and sliced courgette)",200,g,
2 tbsp creme fraiche,creme fraiche,2,tbsp,
"handful tarragon leaves, roughly chopped or 0.5 tsp dried tarragon",tarragon leaves,,handful,roughly chopped or 0.5 tsp dried tarragon
1 kg lamb off the bone,lamb off the bone,1,kg,
2 large red onions,red onions,2,large,
3-4 cloves garlic,garlic,3-4,cloves,
"1.5 kg mixed vegetables, aubergines, courgettes, chard, carrots, peppers, green beans, pumpkin",mixed vegetables,1.5,kg,"aubergines, courgettes, chard, carrots, peppers, green beans, pumpkin"
150 ml olive oil,olive oil,150,ml,
"500 g tomatoes, tinned is fine",tomatoes,500,g,tinned is fine
1 tsp salt,salt,1,tsp,
1 tsp powdered chilli,powdered chilli,1,tsp,
125 g risotto rice,risotto rice,125,g,
200 g petit pois,petit pois,200,g,
100 g parmesan,parmesan,100,g,
500 g orzo,orzo,500,g,
1 lemon,lemon,1,,
200 g spinach,spinach,200,g,
Bunch of basil,Bunch of basil,,,
Bunch of mint,Bunch of mint,,,
Garlic,Garlic,,,
40 g pine nuts,pine nuts,40,g,
20 oz cheese tortellini,cheese tortellini,20,oz,
"1.5 cups grape or cherry tomatoes, sliced in half",grape or cherry tomatoes,1.5,cups,sliced in half
1.5 cups mixed pitted olives,mixed pitted olives,1.5,cups,
5 oz chopped pepperoni,chopped pepperoni,5,oz,
5 oz chopped sopressata,chopped sopressata,5,oz,
1 cup mozzarella pearls,mozzarella pearls,1,cup,
5 oz chopped sharp provolone cheese,chopped sharp provolone cheese,5,oz,
0.75 cup sliced roasted red peppers,sliced roasted red peppers,0.75,cup,
"0.25 red onion, diced",red onion,0.25,,diced
"8 whole pepperoncini peppers, optional",whole pepperoncini peppers,8,,optional
"6 fresh basil leaves, sliced into thin ribbons",fresh basil leaves,6,,sliced into thin ribbons
0.5 cup olive oil,olive oil,0.5,cup,
0.25 cup red wine vinegar,red wine vinegar,0.25,cup,
"2 cloves garlic, minced",garlic,2,cloves,minced
1 tsp dried oregano,dried oregano,1,tsp,
pinch of red pepper flakes,of red pepper flakes,,pinch,
"kosher salt, to taste",kosher salt,,,to taste
2 mugs penne pasta,penne pasta,2,mugs,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, chopped",onion,1,,chopped
500 g lamb mince,lamb mince,500,g,
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
"150 g mushrooms, sliced",mushrooms,150,g,sliced
"0.5 red chilli, deseeded and chopped",red chilli,0.5,,deseeded and chopped
1x 500 g jar of passata,of passata,1x,500 g jar,
0.5 mug water,water,0.5,mug,
1 lamb stock cube,lamb stock cube,1,,
75 g olives,olives,75,g,
"100 g fresh spinach, roughly chopped",fresh spinach,100,g,roughly chopped
"2 slices wholemeal break, made into breadcrumbs",wholemeal break,2,slices,made into breadcrumbs
200 g mozzarella cheese,mozzarella cheese,200,g,
1 tbsp oil,oil,1,tbsp,
"1 onion, chopped",onion,1,,chopped
2 tbsp medium curry powder,medium curry powder,2,tbsp,
"thumb-sized piece ginger, peeled and finely grated",ginger,,thumb-sized piece,peeled and finely grated
"3 cloves garlic, crushed",garlic,3,cloves,crushed
2x 400 g cans chopped tomatoes,chopped tomatoes,2x,400 g cans,
1x 400 g can chickpeas,chickpeas,1x,400 g can,
4 cod fillets (about 125-150 g each),cod fillets (about 125-150 g each),4,,
"zest 1 lemon, then cut into wedges",zest 1 lemon,,,then cut into wedges
"handful coriander, roughly chopped",coriander,,handful,roughly chopped
2.25 cups all-purpose flour,all-purpose flour,2.25,cups,
0.25 teaspoons salt,salt,0.25,teaspoons,
"1 cup unsalted butter, softened to room temperature",unsalted butter,1,cup,softened to room temperature
1 cup packed light brown sugar,packed light brown sugar,1,cup,
0.333 cups packed dark brown sugar,packed dark brown sugar,0.333,cups,
1.5 tsp pure vanilla extract,pure vanilla extract,1.5,tsp,
"0.667 cups coarse sugar, optional, for rolling",coarse sugar,0.667,cups,"optional, for rolling"
1 litre semi-skimmed milk,semi-skimmed milk,1,litre,
2 bay leaves,bay leaves,2,,
10 black peppercorns,black peppercorns,10,,
1x 400 g pack skinless and boneless smoked haddock,skinless and boneless smoked haddock,1x,400 g pack,
75 g butter,butter,75,g,
75 g plain flour,plain flour,75,g,
"125 g extra-mature cheddar, grated",extra-mature cheddar,125,g,grated
2 tbsp chopped chives,chopped chives,2,tbsp,
1x 250 g pack fresh lasagne sheets,fresh lasagne sheets,1x,250 g pack,
1x 80 g pack crayfish or 150 g small prawns,crayfish or 150 g small prawns,1x,80 g pack,
"150 g frozen peas, defrosted",frozen peas,150,g,defrosted
"125 g slightly stale sourdough, blitzed to chunky crumbs",slightly stale sourdough,125,g,blitzed to chunky crumbs
1 tbsp olive oil,olive oil,1,tbsp,
300 g lean minced beef,lean minced beef,300,g,
50 g wholemeal breadcrumbs,wholemeal breadcrumbs,50,g,
50 g carrot grated,carrot grated,50,g,
"1 small onion, grated",onion,1,small,grated
small handful chopped parsley leaves,chopped parsley leaves,,small handful,
1 tsp Worcestershire sauce,Worcestershire sauce,1,tsp,
4 wholemeal burger buns,wholemeal burger buns,4,,
handful salad leaves,handful salad leaves,,,
"tomato salsa, to serve",tomato salsa,,,to serve
2 tbsp olive oil,olive oil,2,tbsp,
"0.5 medium onion, finely chopped",onion,0.5,medium,finely chopped
"2 oz pancetta (or bacon), finely diced",pancetta (or bacon),2,oz,finely diced
"2 tbsp chopped fresh parsley, plus more for serving",chopped fresh parsley,2,tbsp,plus more for serving
"1.25 cups peas, fresh or frozen",peas,1.25,cups,fresh or frozen
"5 cups hot vegetable broth, divided",hot vegetable broth,5,cups,divided
1.5 cups Vialone Nano or Arboria rice,Vialone Nano or Arboria rice,1.5,cups,
Salt,Salt,,,
Freshly ground black pepper,Freshly ground black pepper,,,
2 tbsp butter,butter,2,tbsp,
"0.5 cup freshly grated Parmesan cheese, plus more for serving",freshly grated Parmesan cheese,0.5,cup,plus more for serving
500 g strong white bread flour,strong white bread flour,500,g,
1.5 tsp (or 1 sachet) fast-action dried yeast,(or 1 sachet) fast-action dried yeast,1.5,tsp,
1 tsp golden caster sugar,golden caster sugar,1,tsp,
2 tbsp olive oil,olive oil,2,tbsp,
"semolina, for rolling",semolina,,,for rolling
"1 tbsp olive oil, plus extra for brushing",olive oil,1,tbsp,plus extra for brushing
"1 onion, chopped",onion,1,,chopped
"2 cloves garlic, crushed",garlic,2,cloves,crushed
300 g lamb mince,lamb mince,300,g,
1 tbsp cumin,cumin,1,tbsp,
"2 tsp sumac, plus extra to serve",sumac,2,tsp,plus extra to serve
0.5 tsp allspice,allspice,0.5,tsp,
1 tbsp tomato puree,tomato puree,1,tbsp,
"2 tomatoes, finely chopped",tomatoes,2,,finely chopped
2 tbsp pomegranate molasses,pomegranate molasses,2,tbsp,
"100 g feta cheese, crumbled",feta cheese,100,g,crumbled
1 tbsp sesame seeds,sesame seeds,1,tbsp,
"salad and pickled Turkish chillies, to serve (optional)",salad and pickled Turkish chillies,,,to serve (optional)
1 tbsp sunflower or coconut oil,sunflower or coconut oil,1,tbsp,
"3 cloves garlic, finely chopped",garlic,3,cloves,finely chopped
"30 g root ginger, finely chopped",root ginger,30,g,finely chopped
"6 spring onions, sliced diagonally",spring onions,6,,sliced diagonally
1.5 tsp ground turmeric,ground turmeric,1.5,tsp,
1.5 tbsp cumin seeds,cumin seeds,1.5,tbsp,
"300 g dried red lentils, rinsed",dried red lentils,300,g,rinsed
900 ml vegetable stock - check if gluten free if needed,vegetable stock - check if gluten free if needed,900,ml,
"4 medium eggs, at room temperature",eggs,4,medium,at room temperature
200 g baby leaf spinach,baby leaf spinach,200,g,
"50 g cashews, toasted and roughly chopped",cashews,50,g,toasted and roughly chopped
50 g cube butter,cube butter,50,g,
"1 onion, chopped",onion,1,,chopped
"0.5 red pepper, chopped quite small",red pepper,0.5,,chopped quite small
1 mug risotto rice,risotto rice,1,mug,
2 mugs water,water,2,mugs,
1 vegetable stock cube,vegetable stock cube,1,,
400 g cooked prawns,cooked prawns,400,g,
0.5x 340 g tin sweetcorn,sweetcorn,0.5x,340 g tin,
1 tbsp chopped fresh chives,chopped fresh chives,1,tbsp,
juice of a lemon,juice of a lemon,,,
1 lb boneless skinless chicken thighs,boneless skinless chicken thighs,1,lb,
kosher salt and black pepper,kosher salt and black pepper,,,
2 tbsp oil,oil,2,tbsp,
"20 cloves garlic, peeled",garlic,20,cloves,peeled
6 cups chicken stock,chicken stock,6,cups,
0.6 cup dry orzo,dry orzo,0.6,cup,
3 eggs,eggs,3,,
"Juice of 1 large lemon, plus lemon slices to garnish",Juice of 1 large lemon,,,plus lemon slices to garnish
fresh chopped dill,fresh chopped dill,,,
"crusty bread, to serve",crusty bread,,,to serve
2 tsp rogan josh curry paste,rogan josh curry paste,2,tsp,
2 mugs boiling water,boiling water,2,mugs,
1 mug couscous,couscous,1,mug,
50 g sultanas,sultanas,50,g,
"250 g smoked mackerel fillets, skinned and flaked",smoked mackerel fillets,250,g,skinned and flaked
4 spring onions,spring onions,4,,
"0.5 red pepper, chopped",red pepper,0.5,,chopped
"2 tomatoes, chopped",tomatoes,2,,chopped
1 tbsp freshly chopped coriander,freshly chopped coriander,1,tbsp,
"0.5 cucumber, diced",cucumber,0.5,,diced
juice of lemon,juice of lemon,,,
2 cups vegetable broth,vegetable broth,2,cups,
"1 can (15-ounce) kidney beans, drained and rinsed",can (15-ounce) kidney beans,1,,drained and rinsed
1 cup canned unsweetened coconut milk,canned unsweetened coconut milk,1,cup,
"1 jalapeno, deseeded and minced",jalapeno,1,,deseeded and minced
1 tsp dried thyme,dried thyme,1,tsp,
0.5 tsp ground allspice,ground allspice,0.5,tsp,
0.75 cup medium-grain white rice,medium-grain white rice,0.75,cup,
"1 cup green onion, thinly sliced",green onion,1,cup,thinly sliced 
500 g frozen peas,frozen peas,500,g,
"4 medium potatoes, peeled and cut into cubes",potatoes,4,medium,peeled and cut into cubes
1 litre hot vegetable stock,hot vegetable stock,1,litre,
1x 300 g pack fish fingers,fish fingers,1x,300 g pack,
3 tbsp pesto,pesto,3,tbsp,
"1 tbsp olive oil, plus more for greasing",olive oil,1,tbsp,plus more for greasing
"250 g strong white bread flour, plus extra for dusting",strong white bread flour,250,g,plus extra for dusting
1 tsp fast action dried yeast,fast action dried yeast,1,tsp,
